id,created_at,room_id,routine_start_time,routine_end_time,employee_id,teacher_initial,course_code,section,date_missed,routine_row_id,booked_class_id,makeup_done
124552,2024-10-16 13:00:02.587547+00,KT-Triss,14:00:00,16:00:00,00000005,SS,CSE114,64_J,2024-10-16,,,false
124553,2024-10-16 13:00:02.645225+00,KT-Triss,19:00:00,21:00:00,00000005,SS,CSE114,64_J,2024-10-16,,,false
124556,2024-10-16 13:00:02.763603+00,KT-702,09:45:00,11:00:00,710003082,SN,CIS123,19_A,2024-10-16,,,false
124557,2024-10-16 13:00:02.822814+00,KT-702,13:30:00,14:45:00,,KF,CIS132,19_A,2024-10-16,,,false
124558,2024-10-16 13:00:02.872088+00,KT-703,11:00:00,12:15:00,710003415,NKS,CIS323,17_A,2024-10-16,,,false
124559,2024-10-16 13:00:02.913894+00,KT-704,11:00:00,12:15:00,,JM,FIN232,18_A,2024-10-16,,,false
124560,2024-10-16 13:00:02.945378+00,KT-615,08:30:00,09:45:00,710001985,FH,CIS232L,18_B,2024-10-16,,,false
124561,2024-10-16 13:00:02.982384+00,KT-615,12:15:00,13:30:00,710002617,SHM,CIS211L,17_A,2024-10-16,,,false
124562,2024-10-16 13:00:03.027413+00,KT-702,11:00:00,12:15:00,710001741,MH,CIS222,17_A,2024-10-16,,,false
124563,2024-10-16 13:00:03.082888+00,KT-703,08:30:00,09:45:00,,KF,CIS121,20_B,2024-10-16,,,false
124564,2024-10-16 13:00:03.114881+00,KT-704,08:30:00,09:45:00,710002617,SHM,COF101,20_A,2024-10-16,,,false
124565,2024-10-16 13:00:03.146991+00,KT-704,12:15:00,13:30:00,710001985,FH,CIS232,18_A,2024-10-16,,,false
124566,2024-10-16 13:00:03.202675+00,KT-615,09:45:00,11:00:00,710001985,FH,CIS232L,18_A,2024-10-16,,,false
124567,2024-10-16 13:00:03.240541+00,KT-613_-A,08:30:00,09:45:00,710001741,MH,IoT325L,14_A,2024-10-16,,,false
124568,2024-10-16 13:00:03.291171+00,KT-702,08:30:00,09:45:00,,NAS,STA101,19_A,2024-10-16,,,false
124569,2024-10-16 13:00:03.333456+00,KT-702,12:15:00,13:30:00,710003368,IS,CIS131,19_A,2024-10-16,,,false
124570,2024-10-16 13:00:03.398669+00,KT-703,09:45:00,11:00:00,710003415,NKS,IoT336,14_A,2024-10-16,,,false
124571,2024-10-16 13:00:03.453027+00,KT-704,09:45:00,11:00:00,710002617,SHM,COF101,20_B,2024-10-16,,,false
124572,2024-10-16 13:00:03.497665+00,KT-704,13:30:00,14:45:00,710003368,IS,CIS221,18_A,2024-10-16,,,false
124573,2024-10-16 13:00:03.55324+00,KT-615,11:00:00,12:15:00,710001985,FH,CIS115L,20_A,2024-10-16,,,false
124574,2024-10-16 13:00:03.600716+00,KT-613_-A,09:45:00,11:00:00,710001741,MH,IoT325L,14_B,2024-10-16,,,false
124575,2024-10-16 13:00:03.631265+00,KT-703,08:30:00,09:45:00,710003067,RMS,SE444,34-A,2024-10-16,,,false
124576,2024-10-16 13:00:03.679628+00,KT-703,12:15:00,13:30:00,721000142,SST,ENG101,43-J,2024-10-16,,,false
124577,2024-10-16 13:00:03.714338+00,KT-703,16:00:00,17:15:00,,M2,MAT102,42-G,2024-10-16,,,false
124578,2024-10-16 13:00:03.756546+00,KT-701--A,11:00:00,12:15:00,721500509,SAN,SE113,43-J,2024-10-16,,,false
124579,2024-10-16 13:00:03.791434+00,KT-701--A,14:45:00,16:00:00,723500157,MIM,SE113,43-K,2024-10-16,,,false
124580,2024-10-16 13:00:03.833844+00,KT-704,09:45:00,11:00:00,,MT,SE121,42-B,2024-10-16,,,false
124581,2024-10-16 13:00:03.883263+00,KT-704,13:30:00,14:45:00,,BS,SE212,42-C,2024-10-16,,,false
124582,2024-10-16 13:00:03.914148+00,KT-710,08:30:00,09:45:00,723500140,AD,SE224,40-I2,2024-10-16,,,false
124583,2024-10-16 13:00:03.945276+00,KT-710,12:15:00,13:30:00,723500161,SR,SE122,42-B2,2024-10-16,,,false
124584,2024-10-16 13:00:03.973855+00,KT-710,16:00:00,17:15:00,710003068,RJM,SE313,39-A2,2024-10-16,,,false
124585,2024-10-16 13:00:04.01063+00,KT-903,11:00:00,12:15:00,710002501,DMA,SE132,41-C2,2024-10-16,,,false
124586,2024-10-16 13:00:04.046631+00,KT-903,14:45:00,16:00:00,710003364,SUP,SE122,41-I2,2024-10-16,,,false
124587,2024-10-16 13:00:04.081206+00,KT-811,09:45:00,11:00:00,723500157,MIM,SE113,43-P,2024-10-16,,,false
124588,2024-10-16 13:00:04.114805+00,KT-811,13:30:00,14:45:00,710002801,RM,SE123,42-B,2024-10-16,,,false
124589,2024-10-16 13:00:04.150455+00,KT-703,09:45:00,11:00:00,710002891,NIR,SE225,39-A,2024-10-16,,,false
124590,2024-10-16 13:00:04.181349+00,KT-703,13:30:00,14:45:00,710003382,MMH,MAT102,42-A,2024-10-16,,,false
124591,2024-10-16 13:00:04.248057+00,KT-701--A,08:30:00,09:45:00,710002844,MHS,SE214,40-D,2024-10-16,,,false
124592,2024-10-16 13:00:04.34763+00,KT-701--A,12:15:00,13:30:00,710002844,MHS,SE544,36-A,2024-10-16,,,false
124593,2024-10-16 13:00:04.391326+00,KT-701--A,16:00:00,17:15:00,710003363,AM,SE223,40-E,2024-10-16,,,false
124594,2024-10-16 13:00:04.421558+00,KT-704,11:00:00,12:15:00,,M2,MAT101,43-N,2024-10-16,,,false
124595,2024-10-16 13:00:04.461127+00,KT-704,14:45:00,16:00:00,710003251,BH,SE232,40-C,2024-10-16,,,false
124596,2024-10-16 13:00:04.495045+00,KT-710,09:45:00,11:00:00,723500140,AD,SE224,40-I1,2024-10-16,,,false
124597,2024-10-16 13:00:04.535509+00,KT-710,13:30:00,14:45:00,710003068,RJM,SE313,39-A1,2024-10-16,,,false
124598,2024-10-16 13:00:04.566615+00,KT-903,08:30:00,09:45:00,710003368,IS,SE233,40-F1,2024-10-16,,,false
124599,2024-10-16 13:00:04.604721+00,KT-903,12:15:00,13:30:00,,BS,SE132,41-E2,2024-10-16,,,false
124600,2024-10-16 13:00:04.675272+00,KT-903,16:00:00,17:15:00,723500099,SS,SE122,42-J1,2024-10-16,,,false
124601,2024-10-16 13:00:04.722172+00,KT-811,11:00:00,12:15:00,723500140,AD,SE223,40-I,2024-10-16,,,false
124602,2024-10-16 13:00:04.758271+00,KT-703,11:00:00,12:15:00,721500394,RHH,SE111,43-L,2024-10-16,,,false
124603,2024-10-16 13:00:04.792184+00,KT-703,14:45:00,16:00:00,710003037,SH,PHY101,42-D,2024-10-16,,,false
124604,2024-10-16 13:00:04.826547+00,KT-701--A,09:45:00,11:00:00,710002844,MHS,SE544,37-D,2024-10-16,,,false
124605,2024-10-16 13:00:04.890604+00,KT-701--A,13:30:00,14:45:00,710002844,MHS,SE544,36-A,2024-10-16,,,false
124606,2024-10-16 13:00:04.920592+00,KT-704,08:30:00,09:45:00,,MT,SE121,42-C,2024-10-16,,,false
124607,2024-10-16 13:00:04.985678+00,KT-704,12:15:00,13:30:00,721000152,SSS,ENG101,43-M,2024-10-16,,,false
124608,2024-10-16 13:00:05.015386+00,KT-704,16:00:00,17:15:00,723500132,FRR,SE212,42-K,2024-10-16,,,false
124609,2024-10-16 13:00:05.047319+00,KT-710,11:00:00,12:15:00,724000019,AH,SE132,41-N2,2024-10-16,,,false
124610,2024-10-16 13:00:05.078642+00,KT-710,14:45:00,16:00:00,,BS,SE132,41-E1,2024-10-16,,,false
124611,2024-10-16 13:00:05.114209+00,KT-903,09:45:00,11:00:00,710003364,SUP,SE122,42-A2,2024-10-16,,,false
124612,2024-10-16 13:00:05.167614+00,KT-903,13:30:00,14:45:00,723500099,SS,SE122,42-J2,2024-10-16,,,false
124613,2024-10-16 13:00:05.208797+00,KT-811,12:15:00,13:30:00,723500132,FRR,SE212,42-E,2024-10-16,,,false
124614,2024-10-16 13:00:05.250532+00,KT-811,14:45:00,16:00:00,,M2,MAT102,42-H,2024-10-16,,,false
124615,2024-10-16 13:00:05.292242+00,KT-812,11:00:00,12:15:00,721100153,SAS,GE235,41-G,2024-10-16,,,false
124616,2024-10-16 13:00:05.334143+00,KT-812,14:45:00,16:00:00,,P1,PHY101,42-K,2024-10-16,,,false
124617,2024-10-16 13:00:05.377035+00,KT-813--A,11:00:00,12:15:00,710003253,SP,SE213,42-E,2024-10-16,,,false
124618,2024-10-16 13:00:05.433596+00,KT-921,09:45:00,11:00:00,721000152,SSS,GE324,39-D,2024-10-16,,,false
124619,2024-10-16 13:00:05.491848+00,KT-921,13:30:00,14:45:00,710003437,AE,SE332,37-D,2024-10-16,,,false
124620,2024-10-16 13:00:05.518977+00,KT-814--A,09:45:00,11:00:00,723500152,IAT,SE215,41-I2,2024-10-16,,,false
124621,2024-10-16 13:00:05.552942+00,KT-814--A,13:30:00,14:45:00,,DNA,SE132,41-D1,2024-10-16,,,false
124622,2024-10-16 13:00:05.757255+00,KT-814--B,08:30:00,09:45:00,723500102,SA,SE312,38-A,2024-10-16,,,false
124623,2024-10-16 13:00:05.799358+00,KT-814--B,12:15:00,13:30:00,710002083,FBR,SE334,37-D1,2024-10-16,,,false
124624,2024-10-16 13:00:05.827739+00,KT-611,08:30:00,09:45:00,723500097,FE,SE214,40-C,2024-10-16,,,false
124625,2024-10-16 13:00:05.885069+00,KT-611,12:15:00,13:30:00,710003252,DAKM,SE113,43-C,2024-10-16,,,false
124626,2024-10-16 13:00:05.926817+00,KT-612,08:30:00,09:45:00,710003252,DAKM,SE113,43-A,2024-10-16,,,false
124627,2024-10-16 13:00:05.964212+00,KT-612,12:15:00,13:30:00,710001911,TRT,SE212,41-A,2024-10-16,,,false
124628,2024-10-16 13:00:06.002936+00,KT-612,16:00:00,17:15:00,710003362,MR,SE121,42-E,2024-10-16,,,false
124629,2024-10-16 13:00:06.045433+00,KT-711--A,11:00:00,12:15:00,723500150,MAK,SE226,38-A1,2024-10-16,,,false
124630,2024-10-16 13:00:06.076199+00,KT-712--A,08:30:00,09:45:00,723500157,MIM,SE113,43-L,2024-10-16,,,false
124631,2024-10-16 13:00:06.103233+00,KT-712--A,12:15:00,13:30:00,,E3,ENG101,43-P,2024-10-16,,,false
124632,2024-10-16 13:00:06.134796+00,KT-712--A,16:00:00,17:15:00,710003225,MSS,BNS101,43-G,2024-10-16,,,false
124633,2024-10-16 13:00:06.188844+00,KT-713,11:00:00,12:15:00,710003363,AM,SE223,40-F,2024-10-16,,,false
124634,2024-10-16 13:00:06.22776+00,KT-812,08:30:00,09:45:00,710003225,MSS,BNS101,37-D,2024-10-16,,,false
124635,2024-10-16 13:00:06.268583+00,KT-812,12:15:00,13:30:00,,M4,MAT102,42-K,2024-10-16,,,false
124636,2024-10-16 13:00:06.586461+00,KT-813--A,08:30:00,09:45:00,710003363,AM,SE223,40-B,2024-10-16,,,false
124637,2024-10-16 13:00:06.618851+00,KT-813--A,12:15:00,13:30:00,,M2,MAT102,42-I,2024-10-16,,,false
124638,2024-10-16 13:00:06.646216+00,KT-813--A,14:45:00,16:00:00,710003068,RJM,SE211,41-C,2024-10-16,,,false
124639,2024-10-16 13:00:06.677358+00,KT-921,11:00:00,12:15:00,710002365,AST,STA101,41-B,2024-10-16,,,false
124640,2024-10-16 13:00:06.710108+00,KT-921,14:45:00,16:00:00,721100153,SAS,GE235,41-I,2024-10-16,,,false
124641,2024-10-16 13:00:06.740219+00,KT-814--A,11:00:00,12:15:00,723500102,SA,SE313,38-A1,2024-10-16,,,false
124642,2024-10-16 13:00:06.932213+00,KT-814--A,14:45:00,16:00:00,710001535,AB,SE224,40-B2,2024-10-16,,,false
124643,2024-10-16 13:00:06.967868+00,KT-814--B,09:45:00,11:00:00,710003368,IS,SE232,40-F,2024-10-16,,,false
124644,2024-10-16 13:00:06.996928+00,KT-814--B,13:30:00,14:45:00,721100153,SAS,GE235,41-D,2024-10-16,,,false
124645,2024-10-16 13:00:07.030326+00,KT-611,09:45:00,11:00:00,710000795,MKS,SE411,34-A,2024-10-16,,,false
124646,2024-10-16 13:00:07.065019+00,KT-611,13:30:00,14:45:00,710002084,MSA,SE544,37-A,2024-10-16,,,false
124647,2024-10-16 13:00:07.092811+00,KT-612,09:45:00,11:00:00,710003252,DAKM,SE113,43-A,2024-10-16,,,false
124648,2024-10-16 13:00:07.140849+00,KT-612,13:30:00,14:45:00,710002084,MSA,SE544,37-B,2024-10-16,,,false
124649,2024-10-16 13:00:07.172228+00,KT-711--A,08:30:00,09:45:00,710003364,SUP,SE122,42-A1,2024-10-16,,,false
124650,2024-10-16 13:00:07.202257+00,KT-711--A,12:15:00,13:30:00,723500159,MJ,SE231,39-D1,2024-10-16,,,false
