id,created_at,room_id,routine_start_time,routine_end_time,employee_id,teacher_initial,course_code,batch,section,entry_type,remarks,photo_url,booked_class_id,start_time,end_time,date_taken,routine_row_id,delay_reason,user_id,extra_slot,row_id
572,2024-10-16 02:32:18.001137+00,KT-515,08:30:00,09:45:00,721500499,AJM,CSE315,,63_A,on_time,,,,2024-10-16 08:32:00,2024-10-16 09:26:00,2024-10-16,,On Time,eb1890b5-03a6-454b-bfe8-16695bca461e,false,
573,2024-10-16 02:37:40.162356+00,KT-811,08:30:00,09:45:00,721500463,ST,SE111,,43-P,on_time,There is no Students attend in today's class.,,,2024-10-16 08:37:00,2024-10-16 09:42:00,2024-10-16,,On Time,cf83d7ad-b8fb-4bfa-b1ed-f42386570694,false,
574,2024-10-16 03:44:05.678987+00,KT-809,08:30:00,09:45:00,710003571,MRIS,CSE122,,66_I,late,CLASS ENDED BY SYSTEM,,,2024-10-16 09:44:00,2024-10-16 10:20:00,2024-10-16,,No student present yet.,5e56e292-28da-42f2-a642-4e0e2991fb33,false,
575,2024-10-16 05:01:51.081623+00,KT-919,11:00:00,12:15:00,710002090,AHN,CSE228,,64_F,on_time,,,,2024-10-16 11:01:00,2024-10-16 12:07:00,2024-10-16,,On Time,081c8c62-3e6a-4782-b46f-9c0fcc660345,false,
576,2024-10-16 05:09:09.593585+00,KT-320,11:00:00,12:15:00,710003441,MIR,CSE445,,61_U,on_time,,,,2024-10-16 11:09:00,2024-10-16 12:11:00,2024-10-16,,On Time,bdedd624-0b4d-4bf9-8105-f4ccf8e634b6,false,
577,2024-10-16 05:01:19.050496+00,KT-809,11:00:00,12:15:00,710003412,AKM,CSE216,,65_K,on_time,CLASS ENDED BY SYSTEM,,,2024-10-16 11:01:00,2024-10-16 12:40:00,2024-10-16,,On Time,eebdc8fe-21b9-4f9b-8d54-b83402241545,false,
578,2024-10-16 06:33:30.382793+00,KT-302,12:15:00,13:30:00,710002633,FAF,CSE113,,67_G,late,,,,2024-10-16 12:33:00,2024-10-16 12:48:00,2024-10-16,,students are not present,284c97e8-f096-4821-b68e-8d83b3588d5e,false,
579,2024-10-16 07:09:43.699994+00,KT-1015,12:15:00,13:30:00,710002762,KJH,0212-219,,A,late,,,,2024-10-16 13:09:00,2024-10-16 13:09:00,2024-10-16,,All the students absent today,62a5e169-3398-49f0-9714-acb69ac77239,false,
580,2024-10-16 07:29:03.068987+00,KT-1018,13:30:00,14:45:00,710003229,MK,MCT311,,B,on_time,"No students available! ",,,2024-10-16 13:30:00,2024-10-16 13:31:00,2024-10-16,,On Time,1afcfd85-6132-47b4-b3ec-66951dc94586,false,
581,2024-10-16 06:53:33.088857+00,KT-213,12:15:00,13:30:00,710002090,AHN,CSE212,,65_H,late,,,,2024-10-16 12:53:00,2024-10-16 13:30:00,2024-10-16,,Ongoing Demo Class of recruitment exam,081c8c62-3e6a-4782-b46f-9c0fcc660345,false,
582,2024-10-16 07:30:45.172817+00,KT-221,13:30:00,14:45:00,710002632,STA,CSE423,,59_C,on_time,,,,2024-10-16 13:30:00,2024-10-16 14:43:00,2024-10-16,,On Time,a3c7dfd6-cd92-49df-90e4-a31503edccc0,false,
583,2024-10-16 08:29:29.561393+00,KT-516,13:30:00,14:45:00,710002633,FAF,CSE213,,65_N,late,,,,2024-10-16 14:29:00,2024-10-16 15:08:00,2024-10-16,,"students are not present ",284c97e8-f096-4821-b68e-8d83b3588d5e,false,
584,2024-10-16 07:47:44.011787+00,KT-809,13:30:00,14:45:00,710003571,MRIS,CSE122,,66_H,late,CLASS ENDED BY SYSTEM,,,2024-10-16 13:47:00,2024-10-16 15:20:00,2024-10-16,,no student present in the class,5e56e292-28da-42f2-a642-4e0e2991fb33,false,
